,Exch,ExchType,Scripcode,Name,Series,Expiry,CpType,StrikeRate,WireCat,ISIN,FullName,LotSize,AllowedToTrade,QtyLimit,Multiplier,Underlyer,Root,TickSize
183136,N,D,49582,BANKNIFTY 03 Nov 2022 PE 42600.00,XX,2022-11-03 14:30:00,PE,42600.0, ,BANKNIFTY,BANKNIFTY 03 Nov 2022 PE 42600.00,25,Y,1200,1,03 Nov 2022,BANKNIFTY,0.05
183139,N,D,49596,BANKNIFTY 03 Nov 2022 PE 42800.00,XX,2022-11-03 14:30:00,PE,42800.0, ,BANKNIFTY,BANKNIFTY 03 Nov 2022 PE 42800.00,25,Y,1200,1,03 Nov 2022,BANKNIFTY,0.05
183151,N,D,49617,BANKNIFTY 03 Nov 2022 PE 43100.00,XX,2022-11-03 14:30:00,PE,43100.0, ,BANKNIFTY,BANKNIFTY 03 Nov 2022 PE 43100.00,25,Y,1200,1,03 Nov 2022,BANKNIFTY,0.05
183161,N,D,49627,BANKNIFTY 03 Nov 2022 PE 43200.00,XX,2022-11-03 14:30:00,PE,43200.0, ,BANKNIFTY,BANKNIFTY 03 Nov 2022 PE 43200.00,25,Y,1200,1,03 Nov 2022,BANKNIFTY,0.05
183178,N,D,49661,BANKNIFTY 03 Nov 2022 PE 43600.00,XX,2022-11-03 14:30:00,PE,43600.0, ,BANKNIFTY,BANKNIFTY 03 Nov 2022 PE 43600.00,25,Y,1200,1,03 Nov 2022,BANKNIFTY,0.05
183180,N,D,49663,BANKNIFTY 03 Nov 2022 PE 43700.00,XX,2022-11-03 14:30:00,PE,43700.0, ,BANKNIFTY,BANKNIFTY 03 Nov 2022 PE 43700.00,25,Y,1200,1,03 Nov 2022,BANKNIFTY,0.05
183188,N,D,49671,BANKNIFTY 03 Nov 2022 PE 43800.00,XX,2022-11-03 14:30:00,PE,43800.0, ,BANKNIFTY,BANKNIFTY 03 Nov 2022 PE 43800.00,25,Y,1200,1,03 Nov 2022,BANKNIFTY,0.05
183190,N,D,49681,BANKNIFTY 03 Nov 2022 PE 44000.00,XX,2022-11-03 14:30:00,PE,44000.0, ,BANKNIFTY,BANKNIFTY 03 Nov 2022 PE 44000.00,25,Y,1200,1,03 Nov 2022,BANKNIFTY,0.05
183194,N,D,49685,BANKNIFTY 03 Nov 2022 PE 44100.00,XX,2022-11-03 14:30:00,PE,44100.0, ,BANKNIFTY,BANKNIFTY 03 Nov 2022 PE 44100.00,25,Y,1200,1,03 Nov 2022,BANKNIFTY,0.05
183204,N,D,49695,BANKNIFTY 03 Nov 2022 PE 44200.00,XX,2022-11-03 14:30:00,PE,44200.0, ,BANKNIFTY,BANKNIFTY 03 Nov 2022 PE 44200.00,25,Y,1200,1,03 Nov 2022,BANKNIFTY,0.05
183206,N,D,49697,BANKNIFTY 03 Nov 2022 PE 44300.00,XX,2022-11-03 14:30:00,PE,44300.0, ,BANKNIFTY,BANKNIFTY 03 Nov 2022 PE 44300.00,25,Y,1200,1,03 Nov 2022,BANKNIFTY,0.05
